customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,paperless_billing,churn
CUST-CUR-0001,41,1,33.39,33.39,0,Two year,Fiber optic,Electronic check,Yes,0
CUST-CUR-0002,26,19,73.54,1346.71,1,Two year,DSL,Credit card,Yes,0
CUST-CUR-0003,67,2,81.93,155.47,1,One year,DSL,Electronic check,Yes,0
CUST-CUR-0004,50,1,70.34,70.34,1,Month-to-month,DSL,Mailed check,No,0
CUST-CUR-0005,40,1,48.39,48.39,1,One year,Fiber optic,Electronic check,Yes,0
CUST-CUR-0006,75,57,61.95,3533.99,4,Two year,Fiber optic,Bank transfer,Yes,0
CUST-CUR-0007,19,25,49.97,1218.6,0,One year,No,Electronic check,Yes,0
CUST-CUR-0008,34,6,113.51,685.96,1,Two year,DSL,Electronic check,Yes,0
CUST-CUR-0009,68,10,53.05,423.27,1,One year,Fiber optic,Electronic check,Yes,0
CUST-CUR-0010,59,45,82.89,3770.3,0,Two year,No,Credit card,No,0
CUST-CUR-0011,69,2,91.12,305.72,2,Two year,Fiber optic,Electronic check,Yes,1
CUST-CUR-0012,35,1,55.44,128.27,0,Month-to-month,No,Credit card,Yes,0
CUST-CUR-0013,21,29,121.02,3385.59,4,Month-to-month,DSL,Bank transfer,Yes,0
CUST-CUR-0014,21,67,57.49,3868.16,2,One year,Fiber optic,Electronic check,Yes,0
CUST-CUR-0015,31,1,75.07,144.67,3,Month-to-month,No,Bank transfer,No,0
CUST-CUR-0016,39,32,69.04,2195.96,4,One year,Fiber optic,Bank transfer,No,0
CUST-CUR-0017,38,16,72.66,1216.7,1,One year,DSL,Electronic check,Yes,0
CUST-CUR-0018,40,72,62.67,4562.22,0,Two year,Fiber optic,Bank transfer,No,0
CUST-CUR-0019,33,37,109.01,4010.41,0,Two year,Fiber optic,Bank transfer,Yes,0
CUST-CUR-0020,18,1,69.47,69.47,1,Month-to-month,No,Electronic check,Yes,1
CUST-CUR-0021,51,20,68.9,1316.6,0,Month-to-month,DSL,Electronic check,Yes,0
CUST-CUR-0022,53,1,52.3,99.78,1,Month-to-month,No,Electronic check,No,1
CUST-CUR-0023,28,35,51.52,1844.33,1,Month-to-month,No,Mailed check,Yes,0
CUST-CUR-0024,30,72,58.11,4132.01,0,Month-to-month,DSL,Electronic check,Yes,0
CUST-CUR-0025,32,59,60.81,3563.61,2,One year,No,Electronic check,No,0
CUST-CUR-0026,42,4,87.44,472.01,0,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-CUR-0027,46,1,83.78,83.78,1,One year,DSL,Credit card,No,0
CUST-CUR-0028,42,19,61.02,1169.13,1,One year,Fiber optic,Bank transfer,Yes,0
CUST-CUR-0029,47,6,90.06,424.81,0,Month-to-month,DSL,Electronic check,Yes,0
CUST-CUR-0030,29,6,42.78,216.82,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-CUR-0031,65,72,71.38,5089.52,0,Two year,No,Electronic check,No,0
