customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,paperless_billing,churn
CUST-DRI-0001,24,6,73.59,524.47,2,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0002,49,11,64.66,797.12,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0003,31,1,72.94,72.94,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0004,36,47,69.57,3192.94,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0005,52,13,95.38,1176.21,7,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0006,55,8,80.12,567.21,0,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0007,20,9,103.97,989.12,7,One year,Fiber optic,Credit card,Yes,1
CUST-DRI-0008,22,39,68.64,2707.34,5,One year,DSL,Mailed check,Yes,0
CUST-DRI-0009,39,8,100.62,797.54,10,Two year,DSL,Credit card,No,1
CUST-DRI-0010,25,13,105.77,1283.36,0,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0011,63,1,82.09,82.09,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0012,45,61,76.35,4574.03,0,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0013,40,40,90.27,3572.97,1,Month-to-month,No,Electronic check,No,1
CUST-DRI-0014,37,72,81.2,5798.48,2,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0015,38,38,83.7,3174.28,0,Two year,Fiber optic,Credit card,Yes,0
CUST-DRI-0016,48,14,77.98,1176.82,0,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0017,26,1,60.52,60.52,2,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0018,43,1,73.03,158.06,4,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0019,57,1,84.46,108.73,2,One year,Fiber optic,Electronic check,No,1
CUST-DRI-0020,65,38,101.94,3782.17,4,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-DRI-0021,41,1,84.07,84.07,0,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0022,69,1,86.5,86.5,10,Month-to-month,DSL,Mailed check,No,1
CUST-DRI-0023,25,12,79.59,998.46,11,One year,No,Electronic check,Yes,1
CUST-DRI-0024,33,24,78.81,1818.83,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0025,23,6,59.1,372.76,0,Two year,DSL,Electronic check,Yes,0
CUST-DRI-0026,51,1,105.75,129.62,3,Two year,DSL,Electronic check,Yes,1
CUST-DRI-0027,27,1,74.21,74.21,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0028,33,14,79.76,1067.83,1,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0029,22,72,34.41,2489.32,0,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0030,18,1,101.5,101.5,1,Month-to-month,Fiber optic,Credit card,No,0
CUST-DRI-0031,26,17,79.48,1329.01,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0032,58,1,120.85,120.85,0,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-DRI-0033,48,1,80.66,80.66,3,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0034,30,1,112.44,112.44,6,Month-to-month,Fiber optic,Credit card,No,0
CUST-DRI-0035,26,70,66.32,4631.75,0,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0036,43,10,62.68,670.22,0,Month-to-month,No,Electronic check,No,1
CUST-DRI-0037,33,1,80.35,80.35,1,Two year,DSL,Electronic check,Yes,0
CUST-DRI-0038,71,72,104.96,7449.66,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0039,32,6,62.63,456.35,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0040,31,38,83.24,3288.91,0,One year,DSL,Credit card,Yes,0
CUST-DRI-0041,44,10,67.56,770.19,12,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0042,28,1,68.4,68.4,3,Two year,DSL,Electronic check,Yes,0
CUST-DRI-0043,53,1,102.94,222.62,0,Two year,DSL,Bank transfer,No,1
CUST-DRI-0044,41,1,53.17,53.17,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0045,44,8,46.35,450.26,1,Month-to-month,Fiber optic,Credit card,No,0
CUST-DRI-0046,40,11,84.81,990.84,1,Month-to-month,No,Credit card,Yes,0
CUST-DRI-0047,18,26,87.21,2230.13,0,Month-to-month,Fiber optic,Electronic check,Yes,0
